2026-06-16 07:38:45 | ml_trading | INFO |   Cal-train: (1082, 1281)
2026-06-16 07:38:45 | ml_trading | INFO |   Cal-val: (1293, 1415)
2026-06-16 07:38:45 | ml_trading | INFO |   Test: (1439, 1784)
2026-06-16 07:38:45 | ml_trading | INFO | Training initial model on [0:1070]
2026-06-16 07:38:45 | ml_trading | INFO | Train target distribution: {0: 406, 2: 332, 1: 332}
2026-06-16 07:38:47 | ml_trading | INFO | Initial model: xgboost
2026-06-16 07:38:47 | ml_trading | INFO | Generating 3 calibration-train folds [1082:1281]
2026-06-16 07:38:47 | ml_trading | INFO | Generating 2 calibration-val folds [1293:1415]
2026-06-16 07:38:47 | ml_trading | INFO | Calibration-train: 150 samples
2026-06-16 07:38:47 | ml_trading | INFO | Calibration-val: 100 samples
2026-06-16 07:38:47 | ml_trading | INFO | Fitting calibrators on calibration-train set
2026-06-16 07:38:47 | ml_trading | INFO | Evaluating calibrators on calibration-val set
2026-06-16 07:38:47 | ml_trading | INFO | Selected calibrator: platt
2026-06-16 07:38:47 | ml_trading | INFO |   Validation ECE: 0.0747
2026-06-16 07:38:47 | ml_trading | INFO | Walk-forward test: 6 folds on [1439:1784]
2026-06-16 07:38:47 | ml_trading | INFO | Train target distribution: {0: 603, 1: 439, 2: 385}
2026-06-16 07:38:48 | ml_trading | INFO |   Fold 1/6: [1439:1489] → 50 predictions
2026-06-16 07:38:48 | ml_trading | INFO | Train target distribution: {0: 620, 1: 471, 2: 386}
2026-06-16 07:38:50 | ml_trading | INFO |   Fold 2/6: [1489:1539] → 50 predictions
2026-06-16 07:38:50 | ml_trading | INFO | Train target distribution: {0: 664, 1: 472, 2: 391}
2026-06-16 07:38:51 | ml_trading | INFO |   Fold 3/6: [1539:1589] → 50 predictions
2026-06-16 07:38:51 | ml_trading | INFO | Train target distribution: {0: 709, 1: 476, 2: 392}
2026-06-16 07:38:53 | ml_trading | INFO |   Fold 4/6: [1589:1639] → 50 predictions
2026-06-16 07:38:53 | ml_trading | INFO | Train target distribution: {0: 744, 1: 491, 2: 392}
2026-06-16 07:38:54 | ml_trading | INFO |   Fold 5/6: [1639:1689] → 50 predictions
2026-06-16 07:38:54 | ml_trading | INFO | Train target distribution: {0: 754, 1: 517, 2: 406}
2026-06-16 07:38:55 | ml_trading | INFO |   Fold 6/6: [1689:1739] → 50 predictions
2026-06-16 07:38:55 | ml_trading | INFO | Generated 300 out-of-sample predictions
2026-06-16 07:38:55 | ml_trading | INFO | Prediction distribution: {0.0: 300}
2026-06-16 07:38:55 | ml_trading | INFO |   Running backtest: No Filter
2026-06-16 07:38:55 | ml_trading | INFO | Confidence stats: mean=0.551, median=0.553, max=0.567, p95=0.565
2026-06-16 07:38:55 | ml_trading | INFO | Predictions >=60%: 0
2026-06-16 07:38:55 | ml_trading | INFO | Predictions >=70%: 0
2026-06-16 07:38:56 | ml_trading | INFO |   Running backtest: Conf >= 60%
2026-06-16 07:38:56 | ml_trading | INFO | Confidence stats: mean=0.551, median=0.553, max=0.567, p95=0.565
2026-06-16 07:38:56 | ml_trading | INFO | Predictions >=60%: 0
2026-06-16 07:38:56 | ml_trading | INFO | Predictions >=70%: 0
2026-06-16 07:38:56 | ml_trading | INFO |   Running backtest: Conf >= 70%
2026-06-16 07:38:56 | ml_trading | INFO | Confidence stats: mean=0.551, median=0.553, max=0.567, p95=0.565
2026-06-16 07:38:56 | ml_trading | INFO | Predictions >=60%: 0
2026-06-16 07:38:56 | ml_trading | INFO | Predictions >=70%: 0
2026-06-16 07:38:56 | ml_trading | INFO | 
================================================================================
2026-06-16 07:38:56 | ml_trading | INFO | Labeling Method: Triple TP=3.0 SL=1.5
2026-06-16 07:38:56 | ml_trading | INFO | ================================================================================
2026-06-16 07:38:57 | ml_trading | INFO | Data regions (N=1784, H=12):
2026-06-16 07:38:57 | ml_trading | INFO |   Training: (0, 1070)
2026-06-16 07:38:57 | ml_trading | INFO |   Cal-train: (1082, 1281)
2026-06-16 07:38:57 | ml_trading | INFO |   Cal-val: (1293, 1415)
2026-06-16 07:38:57 | ml_trading | INFO |   Test: (1439, 1784)
2026-06-16 07:38:57 | ml_trading | INFO | Training initial model on [0:1070]
